Date : 2025-08-22 23:05:23
Directory : d:\python_2.0\PythonApplication1\PythonApplication1\project\mb
Total : 211 files,  69060 codes, 7598 comments, 11108 blanks, all 87766 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        116 |     36,389 |      7,193 |      8,985 |     52,567 |
| JSON             |          6 |     22,830 |          0 |          1 |     22,831 |
| JavaScript       |         24 |      3,674 |         73 |        336 |      4,083 |
| Markdown         |         26 |      3,624 |          0 |      1,234 |      4,858 |
| Shell Script     |          9 |        793 |        152 |        206 |      1,151 |
| PostCSS          |         11 |        657 |         11 |        145 |        813 |
| Batch            |          3 |        426 |         63 |         91 |        580 |
| YAML             |          4 |        316 |         26 |         31 |        373 |
| Properties       |          2 |        166 |         32 |         32 |        230 |
| pip requirements |          4 |         75 |         29 |         27 |        131 |
| Ignore           |          1 |         37 |          8 |          8 |         53 |
| Docker           |          1 |         24 |         11 |         10 |         45 |
| HTML             |          2 |         19 |          0 |          0 |         19 |
| log              |          1 |         15 |          0 |          1 |         16 |
| JSON Lines       |          1 |         15 |          0 |          1 |         16 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        211 |     69,060 |      7,598 |     11,108 |     87,766 |
| . (Files)                                                                                                                                               |          8 |      1,021 |         50 |        275 |      1,346 |
| .kiro                                                                                                                                                   |          3 |        572 |          0 |        345 |        917 |
| .kiro\specs                                                                                                                                             |          3 |        572 |          0 |        345 |        917 |
| .kiro\specs\ai-stock-trading-bot                                                                                                                        |          3 |        572 |          0 |        345 |        917 |
| ChatGPT-Micro-Cap-Experiment-main                                                                                                                       |         21 |      1,065 |        145 |        319 |      1,529 |
| ChatGPT-Micro-Cap-Experiment-main (Files)                                                                                                               |          3 |        509 |        104 |         83 |        696 |
